author_id,created_at,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
102129088,2022-04-20T04:59:16.000Z,1516642633065635844,Oscars' 'punishment' for Will Smith slap is pathetic and weak https://t.co/KYfLPB1ulJ via @nypost GREAT TAKE 👍👍,0,0,0,0
1505024907381334017,2022-04-20T04:22:35.000Z,1516633403374059522,"RT @Variety: Jada Pinkett Smith’s ‘Red Table Talk’ Announces Lineup for New Season, but No Mention of Oscars Slap https://t.co/svri75vNsP",5,0,0,0
1505024907381334017,2022-04-20T04:16:52.000Z,1516631964195127296,RT @Variety: Jada Pinkett Smith's #RedTableTalk is coming back. But it's unclear whether Will Smith's infamous Oscars slap will be discusse…,4,0,0,0
1511555319020736513,2022-04-20T03:54:45.000Z,1516626397766111242,"@parrhizzia @imani_gomes @AyannaPressley ..by commiting assault? You act like there was no other way to handle the situation. Not to mention, it was a tepid JOKE.
Why can't JPS stand up/speak for herself? She claims to be empowered &amp; comfortable with her look 🤷🏻‍♂️
https://t.co/QdpT0qwFiO",0,0,0,0
2958044465,2022-04-20T03:19:47.000Z,1516617596803731457,New Trailer! Jada Pinkett Smith’s ‘Red Table Talk’ Returns Following Oscars Slap https://t.co/T8yGgMPQNA via @extratv,0,0,0,0
1049386251042873345,2022-04-20T02:50:46.000Z,1516610295644442628,"How should I respond to the #oscarslap in light of Easter?

#liveimmanuel #brokensaintblog https://t.co/uCkCAB76Xk",0,0,0,0
2891220923,2022-04-20T02:10:44.000Z,1516600219714170883,"Will Packer Claims Chris Rock Said Will Could Leave, Rock Sources Say That's a Lie https://t.co/fH262ILC0h via @TMZ",0,0,0,0
1002293322512297984,2022-04-20T02:05:03.000Z,1516598789372448769,"Will Smith’s Post-Slap Oscars Acceptance Speech Spiked Audience by 600,000 Viewers https://t.co/SojB2atNF6",0,0,0,0
2497930419,2022-04-20T01:40:29.000Z,1516592608407076875,RT @extratv: Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t…,1,0,0,0
15676578,2022-04-20T01:30:00.000Z,1516589969766330370,Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/AOIUpohRHJ,1,0,1,0
1705999651,2022-04-20T01:10:36.000Z,1516585090079469575,"Social Update: Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap. Jada Pinkett Smith's ""Red Table Talk"" is returning with all-new episodes, but their lineup is glaringly missing Will Smith as a guest... https://t.co/PZ8abnGTnN #tmz #theartsandus https://t.co/CJumoUF1Xa",0,0,0,0
1000577623079247872,2022-04-20T00:26:54.000Z,1516574089799999492,- https://t.co/d9Qh0NyA2d,0,0,0,0
1382677869554458626,2022-04-20T00:04:20.000Z,1516568412536950791,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/aqM8xXJd1v Earn money now. Work on the Internet! https://t.co/XBKDNZ447g
 (#Siguemeytesigo) (#Followback) (#News) (#SDV)",0,0,0,0
1207441207997206529,2022-04-19T23:53:23.000Z,1516565656774352900,Jada Pinkett Smith releases Red Table Talk trailer after Will Smith Oscars slap https://t.co/3WSuPDR6uY via @MetroUK,0,1,0,0
2266204533,2022-04-19T22:49:29.000Z,1516549575036780544,"No shit.

https://t.co/sS9ootAMP7",0,0,0,0
67937047,2022-04-19T22:47:49.000Z,1516549156684255236,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,8,0,0,0
51176565,2022-04-19T22:42:34.000Z,1516547832718626817,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,8,0,0,0
10507282,2022-04-19T22:39:00.000Z,1516546935850561538,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,8,0,0,0
1512374511663935489,2022-04-19T22:35:37.000Z,1516546086768316418,"RT @usweekly: Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",1,0,0,0
20012204,2022-04-19T22:35:00.000Z,1516545930840915970,"Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",1,1,5,0
1285012716,2022-04-19T22:24:44.000Z,1516543348064100357,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,8,0,0,0
